Substrates	Kinases
GSUB_61_73	BARK1 CDK DAPK DMPK DYRK ERK PDK1 PHK PKA PKG PLK VRK2
GYS2_1_13	AKT BARK1 CDK DMPK IKK MAPKAPK MTOR PEK PHK PKA PKCA QIK RSK SGK VRK2
H2B1B_ 27_40	AKT AMPK BARK1 CAMK1 CDK COT DAPK DMPK IKK MLK MST PAKA PAKB PDHK PEK PHK PIM PKA PKCA PKCH PKD PKG PLK QIK RAD53 RSK SGK VRK2
H32_3_18	AMPK ATR AUR BARK1 DAPK DMPK DYRK MLK MST MTOR PHK PIM PKCA PKCD PRKDC QIK RAD53 RSK STE7 VRK1 VRK2
IF4E_203_215	BARK1 CDK DMPK ERK GRK IKK LKB MAPKAPK MLK P38 PEK PKCA QIK RIPK STKR VRK1 VRK2
IKBA_26_38	BARK1 CDK CK1 CK2 DAPK ERK IKK NEK NIK PEK PKCA RSK SGK STKR VRK2
IKKB_173_185_C179A	BARK1 CK1 ERK FRAY IKK LKB MST PDHK PDK1 PEK PKCA STE11 STE7 TLK VRK2
IKKB_686_698	ATR BARK1 CDK CK1 DMPK ERK FRAY GRK IKK JNK P38 PAKA PDHK PEK PHK PKCA PKD PLK PRKDC QIK RAD53 RAF RIPK VRK2
K6PL_766_778	BARK1 AKT CAMK2 CDK MAPKAPK MARK MOS PEK PHK PKA PKCA PKG RAD53 RSK VRK2
KAP2_92_104	BARK1 CDK CK2 DMPK ERK GSK MAPKAPK PDHK PEK PHK PIM PKA PKCA PKD PKG QIK RIPK RSK VRK2
KAP3_107_119	AKT AUR BARK1 DMPK MAPKAPK PDHK PHK PKA PKCA RIPK VRK2
KAPCG_192_206	BARK1 CAMK2 CDK DMPK DYRK ERK GSK IKK IRAK LKB MELK MST MTOR PDHK PDK1 PHK PIM PKCH VRK2
KCC2G_278_289	BARK1 CAMK2 CDK CK1 MAPKAPK MELK MLCK PEK PHK PIM PKCA PKCI PLK QIK RSK SGK VRK2
KCNA1_438_450	AKT AMPK BARK1 CAMK1 CDK CK1 DAPK DMPK ERK GRK IKK JNK MAPKAPK MELK NEK P38 PDHK PEK PHK PKA PKCA PKD PLK QIK RAD53 RIPK RSK SGK STE7 STKR VRK2
KCNA2_442_454	AKT AMPK BARK1 CAMK1 CAMK2 CDK CHK1 CK1 DMPK IKK JNK MAPKAPK NEK P38 PDHK PEK PHK PIM PKCA PKD QIK RAD53 RIPK RSK SGK STKR VRK2
KCNA3_461_473	AKT AMPK BARK1 CAMK1 CDK CHK1 CK1 DMPK IKK JNK KHS MAPKAPK MARK MST P38 PAKA PDHK PDK1 PEK PHK PKA PKCA PKD PKG PLK QIK RAD53 RSK STE7 VRK2
KCNA6_504_516	BARK1 CDK DAPK DMPK DYRK ERK FRAY GSK JNK NMO PDHK PDK1 PEK PHK PIM PKCA PKD PKG PLK RSK STE7 VRK2
KCNB1_489_501	AMPK BARK1 CAMK1 CAMK2 CDK CHK1 CK1 CK2 DAPK DMPK GRK IKK MAPKAPK MELK MLCK MLK MST NAK NEK PDHK PEK PHK PIM PKA PKCA PKCD PKD QIK RIPK RSK SGK STE7 STKR VRK2
KIF2C_105_118_S106G	BARK1 CAMK2 CDK DMPK FRAY IKK MELK NEK PAKA PDHK PEK PHK PKCA PKD QIK RIPK RSK VRK2
KIF11_919_931	BARK1 CDK DMPK DYRK ERK GSK IKK JNK P38 PDHK PDK1 PEK PIM PKCA PKG PLK STE7 VRK2
KPB1_1011_1023	BARK1 CDK CK1 DMPK IKK P38 PAKA PDHK PEK PHK PIM PKA PKCA PKD RIPK RSK SGK VRK2
KPCB_19_31_A25S	BARK1 DMPK MAPKAPK PKCA PKD VRK2
KPCB_626_639	BARK1 PDHK STE7 VRK2
KS6A1_374_386	BARK1 COT FRAY MAPKAPK MSN MTOR PDHK PDK1 PEK PHK PIM PKCA RAD53 RSK STE7 VRK2
LIPS_944_956	AMPK ATR BARK1 CDK DMPK ERK NDR PDHK PEK PIM PKA PKCA PKG PRKDC RAF RSK STE7 VRK2
LMNA_192_204	BARK1 DMPK MAPKAPK MELK PHK PIM PKCA VRK2
LMNB1_16_28	BARK1 CDK DMPK DYRK ERK GSK IKK IRAK JNK MLK NMO P38 PDK1 PEK PIM PKCA PKG RSK STE7 VRK2
MARCS_152_164	BARK1 CDK DAPK DMPK ERK JNK P38 PAKA PDHK PDK1 PEK PHK PKA PKCA PKCH PKCI PKD PKG PKN RAD53 VRK2
MARCS_160_172	BARK1 CDK DMPK ERK JNK MLK P38 PDHK PDK1 PEK PKCA RAD53 RIPK VRK2
MBP_222_234	BARK1 CDK DYRK ERK GSK JNK MTOR PDK1 PEK VRK2
MK10_214_226	AKT BARK1 CDK DYRK ERK FRAY IRAK JNK LKB MST MTOR NMO P38 PDHK PDK1 PEK PHK PIM PKCA PRKDC QIK RSK STE7 VRK2
MP2K1_281_293	BARK1 CDK DAPK DMPK DYRK ERK JNK MTOR P38 PDK1 PEK PKCA STE11 STE7 VRK2
MP2K1_287_299	BARK1 CDK DMPK DYRK ERK JNK MAPKAPK P38 PAKA PDHK PDK1 PEK PHK PIM PKCA PKD STE7 VRK2
MPH6_140_152	BARK1 CDK DYRK P38 PDK1 PLK STE7 VRK2
MPIP1_172_184	ATR BARK1 CHK1 DMPK MAPKAPK PHK PIM PKCA PRKDC QIK RAD53 RAF RSK VRK2
MPIP3_208_220	BARK1 BRSK CAMK1 CDK CHK1 DMPK DYRK ERK IKK JNK MAPKAPK MARK MELK P38 PDK1 PEK PHK PKCA QIK RAD53 RIPK VRK2
MYBB_513_525	BARK1 CDK DMPK DYRK ERK FRAY IKK JNK P38 PDK1 PEK PLK STE7 VRK2
MYC_51_63	BARK1 CDK DYRK ERK GSK IRAK JNK MTOR NMO PDK1 PEK PLK TLK VRK2
MYPC3_268_280	AUR BARK1 DMPK IKK MLK MTOR PEK PHK PKA PKCA PKG QIK RIPK RSK VRK2
NCF1_296_308	BARK1 BARK2 AKT DMPK IKK MELK NEK PAKA PEK PHK PIM PKA PKCA PKCD PKCH PKCI PKD VRK2
NCF1_321_333	AKT BARK1 DMPK IRAK PHK PKA PKCA PKCD QIK VRK2
NEK2_172_184	BARK1 CAMK1 CAMK2 CDK DYRK ERK FRAY LKB MELK MST MTOR NEK P38 PDHK PDK1 PEK PKCA PKCH RSK STE11 STE7 VRK2
NEK3_158_170	BARK1 CAMK2 DYRK ERK LKB MST NEK PDHK PDK1 PEK PKCH STE11 STE7 VRK2
NFKB1_330_342	BARK1 CDK DMPK IKK MAPKAPK PAKA PDHK PEK PIM PKA PKCA PKG PLK STE7 VRK2
NMDZ1_890_902	BARK1 AKT AMPK AUR CAMK1 CDK CHK1 DAPK DMPK FRAY GRK IKK MELK MLK MSN MST MTOR PAKA PDHK PDK1 PEK PHK PIM PKA PKCA PKCI PKD PKG PLK QIK RAD53 RAF RIPK RSK SGK STE7 VRK2
NOS3_1171_1183	AKT AMPK BARK1 CDK CK1 DMPK MELK PDHK PDK1 PEK PHK PIM PKA PKCA PKG QIK RAD53 RIPK RSK SGK VRK2
NR4A1_344_356	AKT BARK1 CDK DMPK PHK PIM PKA PKCA RAF RSK VRK2
NTRK3_824_836	BARK1 CDK DYRK IRAK PDK1 VRK2
P53_12_24	AMPK ATM ATR BARK1 BUD32 CDK CHK1 CK1 DAPK DYRK ERK IKK JNK LKB MAPKAPK MLK MST NUAK P38 PDHK PEK PHK PLK PRKDC RAD53 TTK VRK1 VRK2
P53_308_323	AUR BARK1 CAMK1 CDK DYRK ERK IKK JNK P38 PKCA PLK QIK STE7 VRK2
PDE5A_95_107	BARK1 CDK DMPK DYRK ERK GRK JNK MAPKAPK P38 PDK1 PEK PHK PIM PKA PKCA PKG QIK SGK STE7 VRK2
PDPK1_27_39	BARK1 CDK CK1 DMPK DYRK ERK GRK GSK IKK JNK MELK MLK MTOR NEK PDHK PDK1 PEK PHK PKCA PKD PLK QIK RAF RIPK RSK STE11 STE7 VRK2
PLEK_106_118	AUR BARK1 CDK CK1 DMPK MST PEK PKCA PKCD PKCH PLK VRK2
PLM_76_88	BARK1 CDK DMPK IKK PAKA PDHK PDK1 PEK PIM PKA PKCA PKD PKG PLK RAD53 RIPK RSK STE7 VRK2
PP2AB_297_309	BARK1 BARK2 CDK DYRK JNK VRK2
PPR1A_28_40	AKT BARK1 CDK DAPK DMPK DYRK GSK JNK P38 PDK1 PEK PHK PKA RSK VRK2
PRKDC_2618_2630	ATR BARK1 BARK2 CK1 DMPK IKK MELK MLK MTOR NEK P38 PHK PIM PKA PKCA PKG PRKDC PLK QIK SGK STE7 VRK2
PTK6_436_448	AKT BARK1 CAMK1 CDK CK1 DMPK MAPKAPK MELK P38 PAKA PDHK PDK1 PEK PHK PIM PKA PKCA PKCD PKCI PKD PKG QIK RAD53 RSK STE7 VRK2
PTN12_32_44	BARK1 CDK DMPK FRAY MAPKAPK MLK PAKA PDHK PEK PHK PIM PKA PKCA PKCD PKD PKG QIK RAD53 RSK VRK2
PYGL_8_20	BARK1 DMPK IKK MAPKAPK MELK PHK PKCA PKCD PKD PLK RSK VRK2
RAB1A_187_199	BARK1 CDK CK1 DAPK DMPK DYRK ERK JNK MTOR PDK1 PEK PHK PIM PKCA PLK QIK VRK2
RADI_559_569	BARK1 COT DMPK MSN MST PHK PIM PKCA SLK VRK2
RAF1_253_265	AKT AMPK BARK1 CAMK1 CDK DAPK DMPK DYRK ERK JNK MAPKAPK MARK NDR P38 PAKA PDK1 PHK PKA PKCA PDHK QIK RAF RIPK RSK SGK VRK2
RAP1B_172_184	AKT AMPK BARK1 CDK DMPK IKK MAPKAPK PDHK PEK PHK PIM PKA PKCA PKG QIK RAD53 RSK VRK2
RB_242_254	BARK1 CDK DYRK ERK IRAK P38 PDK1 PEK PKCA PLK VRK2
RB_350_362	ATR BARK1 CDK DMPK DYRK PDHK PDK1 PEK PHK PIM PKCA PRKDC QIK RSK VRK2
RB_774_786	AUR BARK1 CDK DMPK DYRK ERK GSK JNK MLK P38 PHK PKA PKCA PLK QIK RAF VRK2
RB_803_815	BARK1 CDK CK1 DYRK ERK JNK QIK VRK2
RBL2_632_644	BARK1 CDK DYRK ERK IKK IRAK JNK NEK P38 PDK1 PEK PLK VRK2
RBL2_655_667	BARK1 CDK CK1 DMPK DYRK ERK FRAY GSK IKK JNK MAPKAPK MELK MTOR NEK P38 PDK1 PEK PHK PIM PKCA PKD PLK QIK RAD53 RAF RIPK STE7 VRK2
RBL2_959_971	AKT BARK1 CAMK2 CDK CHK1 CK1 CLK DMPK DYRK ERK JNK NEK NMO P38 PAKA PDHK PDK1 PEK PHK PIM PKA PKCA QIK RAD53 RAF RSK STE7 VRK2
REL_260_272	BARK1 CDK CK1 DMPK MAPKAPK MARK PAKA PEK PIM PKCA PKD PKG PLK RSK STE7 VRK2
RS6_228_240	AKT BARK1 CAMK1 CDK DAPK DMPK IKK MAPKAPK MELK PAKA PASK PDHK PEK PHK PIM PKA PKCA PKCD PKCI PKD PKG QIK RIPK RSK SGK VRK2
RYR1_4317_4329	BARK1 DMPK PHK PIM PKA PKCA PKCH PKG RSK VRK2
SCN7A_898_910	BARK1 DMPK HAL IKK PHK PKA PKCA PKG RIPK RSK VRK2
SRC_413_425	BARK1 PKCA PLK STE7 VRK2
SRC8_CHICK_423_435	BARK1 CAMK1 CDK CK1 DMPK DYRK ERK JNK NMO P38 PDK1 PEK PHK PKCA PKD QIK RAF RIPK RSK VRK2
STK6_283_295	AUR BARK1 CAMK1 CAMK2 CDK DMPK FRAY IKK IRAK LKB MELK MLK MTOR NDR NEK PAKA PDHK PDK1 PEK PHK PKA PKCA PKCD PLK PRKDC QIK RAD53 RSK STE7 VRK2
STMN2_90_102	ATR BARK1 DMPK PAKA PHK PIM PKCA RIPK RSK VRK2
TAU_524_536	AKT BARK1 CAMK1 CDK DMPK DYRK ERK GRK GSK IKK JNK MAPKAPK MELK MTOR P38 PDK1 PEK PHK PIM PKA PKCA PKD PLK QIK RAF RIPK RSK SGK STE11 VRK2
TLE2_246_258	BARK1 CDK CK1 DYRK ERK GSK JNK LKB NMO P38 PDHK PDK1 PEK QIK VRK2
TOP2A_1463_1475	AKT BARK1 CDK CK1 CK2 DAPK DMPK IKK MLK NEK PAKA PEK PHK PIM PKA PKCA PKG PLK QIK RAD53 RIPK RSK VRK2
TY3H_65_77	BARK1 CAMK2 MAPKAPK PHK PIM PKA PKCA PKG QIK RIPK RSK VRK2
VASP_150_162	BARK1 DMPK PHK PIM PKA PKCA PKD PKG RIPK RSK VRK2
VASP_232_244	BARK1 CDK DMPK IKK MAPKAPK PHK PIM PKA PKCA PKCH PKD PKG RIPK RSK VRK2
VASP_271_283	AKT ATR AMPK BARK1 DMPK IKK PAKA PHK PIM PKA PKG RIPK RSK VRK2
VIGLN_289_301	BARK1 CAMK2 CDK CK2 DAPK DMPK IRAK MELK PAKA PEK PHK PIM PKCA PLK STE7 VRK2
VTNC_390_402	AKT BARK1 CDK DAPK DMPK PDHK PEK PHK PKA PKCA QIK RIPK RSK SGK VRK2
YAP1_121_133	AKT BARK1 CDK DMPK DYRK ERK IKK JNK MST NDR NMO P38 PDK1 PEK PHK PKCA QIK RAF RSK VRK2
